_id,Location_Code,ward,Status,location,geometry
5401,A151,1 - Etobicoke North,Active,Kipling Ave. South of Snaresbrook Dr.,"{'type': 'Point', 'coordinates': (-79.571337, 43.721092)}"
5402,A152,1 - Etobicoke North,Active,Silverstone Dr. North of Avening Dr.,"{'type': 'Point', 'coordinates': (-79.595815, 43.738316)}"
5403,A153,2 - Etobicoke Centre,Active,The Westway West of Brampton Rd.,"{'type': 'Point', 'coordinates': (-79.56139, 43.684686)}"
5404,A154,2 - Etobicoke Centre,Active,Montgomery Rd. Near Loyalist Rd.,"{'type': 'Point', 'coordinates': (-79.522707, 43.650985)}"
5405,A155,3 - Etobicoke-Lakeshore,Active,Birmingham St. West of Kipling Ave.,"{'type': 'Point', 'coordinates': (-79.519132, 43.600467)}"
5406,A156,3 - Etobicoke-Lakeshore,Active,Royal York Rd. North of Coney Rd.,"{'type': 'Point', 'coordinates': (-79.506245, 43.635061)}"
5407,A157,4 -  Parkdale-High Park,Active,Priscilla Ave. South of Dundas St. W.,"{'type': 'Point', 'coordinates': (-79.48884500000001, 43.663813000000005)}"
5408,A158,4 -  Parkdale-High Park,Active,Jane St. South of Weatherell St.,"{'type': 'Point', 'coordinates': (-79.485329, 43.651459)}"
5409,A159,5 - York South-Weston,Active,Lawrence Ave. W. East of Martini Dr.,"{'type': 'Point', 'coordinates': (-79.501502, 43.703265)}"
5410,A160,5 - York South-Weston,Active,King St. South of George St,"{'type': 'Point', 'coordinates': (-79.520012, 43.702058)}"
5411,A161,6 - York Centre,Active,Sheppard Ave. W. East of Buckland Rd.,"{'type': 'Point', 'coordinates': (-79.502757, 43.741206)}"
5412,A162,6 - York Centre,Active,Faywood Blvd. Near Norcross Rd.,"{'type': 'Point', 'coordinates': (-79.451329, 43.751653)}"
5413,A163,7 - Humber River-Black Creek,Active,Jane St. North of Clair Rd.,"{'type': 'Point', 'coordinates': (-79.513888, 43.74218)}"
5414,A164,7 - Humber River-Black Creek,Active,Yorkwoods Gate. East of Jane St.,"{'type': 'Point', 'coordinates': (-79.514669, 43.751013)}"
5415,A165,8 - Eglinton-Lawrence,Active,Glenmount Ave. Near Madoc Dr.,"{'type': 'Point', 'coordinates': (-79.43208, 43.716315)}"
5416,A166,8 - Eglinton-Lawrence,Active,Avenue Rd. South of Caribou Rd.,"{'type': 'Point', 'coordinates': (-79.415062, 43.720427)}"
5417,A167,9 - Davenport,Active,Dufferin St. North of Norton Ave.,"{'type': 'Point', 'coordinates': (-79.443567, 43.679207)}"
5418,A168,9 - Davenport,Active,Oakwood Ave. Near Biggar Ave.,"{'type': 'Point', 'coordinates': (-79.435508, 43.678625)}"
5419,A169,10 - Spadina-Fort York,Active,Queens Quay East of Bathurst St.,"{'type': 'Point', 'coordinates': (-79.39768900000001, 43.636104)}"
5420,A020,10 - Spadina-Fort York,Active,Givins St. South of Argyle St.,"{'type': 'Point', 'coordinates': (-79.418101, 43.646066)}"
5421,A170,11 - University-Rosedale,Active,Davenport Rd. Near Bishop St.,"{'type': 'Point', 'coordinates': (-79.392113, 43.674231)}"
5422,A171,11 - University-Rosedale,Active,Beverley St. Near D'Arcy St.,"{'type': 'Point', 'coordinates': (-79.394266, 43.654858)}"
5423,A172,12 - Toronto-St. Pauls,Active,Bathurst St. Near Ardmore Rd.,"{'type': 'Point', 'coordinates': (-79.422577, 43.693662)}"
5424,A173,12 - Toronto-St. Pauls,Active,Arlington Ave. South of Durham Ave.,"{'type': 'Point', 'coordinates': (-79.433017, 43.691502)}"
5425,A174,13 - Toronto Centre,Active,Queen St. E. Near Sackville St.,"{'type': 'Point', 'coordinates': (-79.361694, 43.65621)}"
5426,A175,13 - Toronto Centre,Active,Isabella St. West of Sherbourne St.,"{'type': 'Point', 'coordinates': (-79.37682, 43.669437)}"
5427,A176,14 - Toronto-Danforth,Active,Donlands Ave. Near Memorial Park Ave.,"{'type': 'Point', 'coordinates': (-79.341014, 43.689517)}"
5428,A177,14 - Toronto-Danforth,Active,Westwood Ave. West of Carlaw Ave.,"{'type': 'Point', 'coordinates': (-79.351208, 43.685962)}"
5429,A178,15 - Don Valley West,Active,Lawrence Ave. E. East of Mildenhall Rd.,"{'type': 'Point', 'coordinates': (-79.384666, 43.728136)}"
5430,A179,15 - Don Valley West,Active,Banbury Rd. Near Portsmith Rd.,"{'type': 'Point', 'coordinates': (-79.37075, 43.754147)}"
5431,A180,16 - Don Valley East,Active,Scarsdale Rd. South of York Mills Rd.,"{'type': 'Point', 'coordinates': (-79.354894, 43.749876)}"
5432,A181,16 - Don Valley East,Active,Wallingford Rd. North of Cassandra Blvd.,"{'type': 'Point', 'coordinates': (-79.321751, 43.755113)}"
5433,A182,17 - Don Valley North,Active,Victoria Park Ave. North of Old Sheppard Ave.,"{'type': 'Point', 'coordinates': (-79.325995, 43.781617)}"
5434,A183,17 - Don Valley North,Active,Brian Dr.  North of Clydesdale Dr.,"{'type': 'Point', 'coordinates': (-79.332558, 43.78279)}"
5435,A184,18 -  Willowdale,Active,Senlac Rd.  South of Horsham Ave.,"{'type': 'Point', 'coordinates': (-79.42789, 43.771045)}"
5436,A185,18 -  Willowdale,Active,Cactus Ave.  North of Moore Park Ave.,"{'type': 'Point', 'coordinates': (-79.433572, 43.790911)}"
5437,A186,19 - Beaches-East York,Active,O'Connor Dr.  Near Wakunda Place.,"{'type': 'Point', 'coordinates': (-79.304936, 43.716203)}"
5438,A187,19 - Beaches-East York,Active,Cosburn Ave.  West of Binswood Ave.,"{'type': 'Point', 'coordinates': (-79.325581, 43.694671)}"
5439,A188,20 - Scarborough Southwest,Active,Kingston Rd. Near 2685 Kingston Rd.,"{'type': 'Point', 'coordinates': (-79.24225, 43.716422)}"
5440,A189,20 - Scarborough Southwest,Active,Cathedral Bluffs Dr.  South of Kingston Rd.,"{'type': 'Point', 'coordinates': (-79.231438, 43.72411600000001)}"
5441,A190,21 - Scarborough Centre,Active,Birchmount Rd.  South of Ellendale Dr.,"{'type': 'Point', 'coordinates': (-79.288809, 43.757184)}"
5442,A191,21 - Scarborough Centre,Active,Dewey Dr.  East of Pharmacy Ave.,"{'type': 'Point', 'coordinates': (-79.308006, 43.755324)}"
5443,A192,22 - Scarborough-Agincourt,Active,Warden Ave.  South of Glen Springs Dr.,"{'type': 'Point', 'coordinates': (-79.319553, 43.803327)}"
5444,A193,22 - Scarborough-Agincourt,Active,Lockie Ave.  East of Donalda Cres.,"{'type': 'Point', 'coordinates': (-79.281572, 43.788597)}"
5445,A194,23 -  Scarborough North,Active,Finch Ave. E.  West of Neilson Rd.,"{'type': 'Point', 'coordinates': (-79.229572, 43.815932)}"
5446,A195,23 -  Scarborough North,Active,Nugget Ave.  East of Transfer Place.,"{'type': 'Point', 'coordinates': (-79.243791, 43.79808)}"
5447,A196,24 - Scarborough-Guildwood,Active,Bellamy Rd. N.  South of Northleigh Dr.,"{'type': 'Point', 'coordinates': (-79.23978, 43.76879)}"
5448,A197,24 - Scarborough-Guildwood,Active,Brimorton Dr.  Near Amberjack Blvd.,"{'type': 'Point', 'coordinates': (-79.235848, 43.770597)}"
5449,A198,25 - Scarborough-Rouge Park,Active,Manse Rd.  Near 292 Manse Rd.,"{'type': 'Point', 'coordinates': (-79.175677, 43.769012)}"
5450,A199,25 - Scarborough-Rouge Park,Active,Wickson Trail  West of Brenyon Way,"{'type': 'Point', 'coordinates': (-79.212114, 43.804738)}"
5451,A201,1 - Etobicoke North,Planned,Martin Grove Rd. North of Rampart Rd,"{'type': 'Point', 'coordinates': (-79.59055, 43.734476)}"
5452,A202,1 - Etobicoke North,Planned,Redgrave Dr. West of Martin Grove Rd.,"{'type': 'Point', 'coordinates': (-79.568876, 43.682991)}"
5453,A203,2 - Etobicoke Centre,Planned,Royal York Rd. North of La Rose Ave.,"{'type': 'Point', 'coordinates': (-79.527765, 43.684999000000005)}"
5454,A204,2 - Etobicoke Centre,Planned,Mill Rd. North of Burnhamthorpe Rd.,"{'type': 'Point', 'coordinates': (-79.58549, 43.640695)}"
5455,A205,3 - Etobicoke-Lakeshore,Planned,The East Mall South of Faludon Court,"{'type': 'Point', 'coordinates': (-79.555593, 43.633225)}"
5456,A206,3 - Etobicoke-Lakeshore,Planned,Ourland Ave. Near Merriday St,"{'type': 'Point', 'coordinates': (-79.507852, 43.615495)}"
5457,A207,4 -  Parkdale-High Park,Planned,Parkside Dr. South of Algonquin Ave,"{'type': 'Point', 'coordinates': (-79.45528, 43.64253)}"
5458,A208,4 -  Parkdale-High Park,Planned,Runnymede Rd. North of Colbeck St.,"{'type': 'Point', 'coordinates': (-79.477902, 43.655081)}"
5459,A209,5 - York South-Weston,Planned,Scarlett Rd. South of Ellins Ave.,"{'type': 'Point', 'coordinates': (-79.502786, 43.670715)}"
5460,A210,5 - York South-Weston,Planned,Gary Dr. Near Deerhurst Ave.,"{'type': 'Point', 'coordinates': (-79.51697, 43.711518)}"
5461,A211,6 - York Centre,Planned,Dufferin St. North of Stanstead Dr.,"{'type': 'Point', 'coordinates': (-79.465845, 43.76401700000001)}"
5462,A212,6 - York Centre,Planned,Stilecroft Dr. West of Sharpecroft Blvd.,"{'type': 'Point', 'coordinates': (-79.491983, 43.75096)}"
5463,A213,7 - Humber River-Black Creek,Planned,Weston Rd. Near Coronado Court,"{'type': 'Point', 'coordinates': (-79.539617, 43.739993)}"
5464,A214,7 - Humber River-Black Creek,Planned,Spenvalley Dr. Near Whitbread Cres.,"{'type': 'Point', 'coordinates': (-79.509951, 43.74265)}"
5465,A215,8 - Eglinton-Lawrence,Planned,Dufferin St. South of Claver Ave.,"{'type': 'Point', 'coordinates': (-79.454245, 43.711893)}"
5466,A216,8 - Eglinton-Lawrence,Planned,Orfus Rd. West of Dufferin St.,"{'type': 'Point', 'coordinates': (-79.45838000000002, 43.719926)}"
5467,A217,9 - Davenport,Planned,Rogers Rd. Near 382 Rogers Rd.,"{'type': 'Point', 'coordinates': (-79.46086, 43.683325)}"
5468,A218,9 - Davenport,Planned,Dufferin St. South of Dufferin Park Ave.,"{'type': 'Point', 'coordinates': (-79.433906, 43.656124)}"
5469,A069,10 - Spadina-Fort York,Planned,Denison Ave. South of Grange Ave.,"{'type': 'Point', 'coordinates': (-79.401657, 43.650557)}"
5470,A070,10 - Spadina-Fort York,Planned,Brant St. South of Adelaide St. W.,"{'type': 'Point', 'coordinates': (-79.397891, 43.645661000000004)}"
5471,A219,11 - University-Rosedale,Planned,Spadina Ave. South of Bloor St. W.,"{'type': 'Point', 'coordinates': (-79.40321, 43.665554)}"
5472,A220,11 - University-Rosedale,Planned,Manning Ave. South of Lennox St.,"{'type': 'Point', 'coordinates': (-79.415117, 43.661677)}"
5473,A221,12 - Toronto-St. Pauls,Planned,St. Clair Ave. W. Near Crang Ave.,"{'type': 'Point', 'coordinates': (-79.436545, 43.679447)}"
5474,A222,12 - Toronto-St. Pauls,Planned,Warren Rd. North of Lonsdale Rd.,"{'type': 'Point', 'coordinates': (-79.408331, 43.690725)}"
5475,A223,13 - Toronto Centre,Planned,Carlton St. Near Homewood Ave.,"{'type': 'Point', 'coordinates': (-79.374423, 43.66290000000001)}"
5476,A224,13 - Toronto Centre,Planned,Shuter St. East of Sackville St.,"{'type': 'Point', 'coordinates': (-79.361327, 43.657748000000005)}"
5477,A225,14 - Toronto-Danforth,Planned,O'Connor Dr. West of Lankin Blvd.,"{'type': 'Point', 'coordinates': (-79.331149, 43.697391)}"
5478,A226,14 - Toronto-Danforth,Planned,Cosburn Ave. Near Roosevelt Rd.,"{'type': 'Point', 'coordinates': (-79.331208, 43.693481)}"
5479,A227,15 - Don Valley West,Planned,York Mills Rd. West of Banbury Rd.,"{'type': 'Point', 'coordinates': (-79.372501, 43.75107)}"
5480,A228,15 - Don Valley West,Planned,Park Lane Circle Near 60 Park Lane Circle,"{'type': 'Point', 'coordinates': (-79.366913, 43.72947)}"
5481,A229,16 - Don Valley East,Planned,The Donway E. North of Greenland Rd,"{'type': 'Point', 'coordinates': (-79.340394, 43.73556)}"
5482,A230,16 - Don Valley East,Planned,The Donway W. Near Duncairn Rd.,"{'type': 'Point', 'coordinates': (-79.34656300000002, 43.739579)}"
5483,A231,17 - Don Valley North,Planned,McNicoll Ave. Near Sexton Cres.,"{'type': 'Point', 'coordinates': (-79.349958, 43.800338)}"
5484,A232,17 - Don Valley North,Planned,Don Mills Rd. South of Freshmeadow Dr.,"{'type': 'Point', 'coordinates': (-79.358381, 43.808397)}"
5485,A233,18 -  Willowdale,Planned,Finch Ave. E. Near Manorcrest Dr.,"{'type': 'Point', 'coordinates': (-79.394383, 43.784425000000006)}"
5486,A234,18 -  Willowdale,Planned,Churchill Ave. West of Abbotsford Rd.,"{'type': 'Point', 'coordinates': (-79.424087, 43.771093)}"
5487,A235,19 - Beaches-East York,Planned,St. Clair Ave. E. West of Marilyn Cres.,"{'type': 'Point', 'coordinates': (-79.316731, 43.704869)}"
5488,A236,19 - Beaches-East York,Planned,Kingston Rd. Near Glen Manor Dr.,"{'type': 'Point', 'coordinates': (-79.29461, 43.67979)}"
5489,A237,20 - Scarborough Southwest,Planned,Danforth Ave. East of Birchmount Rd.,"{'type': 'Point', 'coordinates': (-79.261283, 43.697953000000005)}"
5490,A238,20 - Scarborough Southwest,Planned,Corvette Ave. Near Cleta Dr.,"{'type': 'Point', 'coordinates': (-79.263597, 43.725593)}"
5491,A239,21 - Scarborough Centre,Planned,Pharmacy Ave. North of Sherwood Ave.,"{'type': 'Point', 'coordinates': (-79.303522, 43.740433)}"
5492,A240,21 - Scarborough Centre,Planned,Antrim Cres. Near 11 Antrim Cres.,"{'type': 'Point', 'coordinates': (-79.28465400000002, 43.77138600000001)}"
5493,A241,22 - Scarborough-Agincourt,Planned,Pharmacy Ave. Near 2300 Pharmacy Ave.,"{'type': 'Point', 'coordinates': (-79.322803, 43.787727)}"
5494,A242,22 - Scarborough-Agincourt,Planned,Dunmurray Blvd. Near Groomsport Cres.,"{'type': 'Point', 'coordinates': (-79.303947, 43.786773)}"
5495,A243,23 -  Scarborough North,Planned,Sandhurst Circle North of Finch Ave. E.,"{'type': 'Point', 'coordinates': (-79.270768, 43.808227)}"
5496,A244,23 -  Scarborough North,Planned,Seasons Dr. East of Oasis Blvd.,"{'type': 'Point', 'coordinates': (-79.231921, 43.829693)}"
5497,A245,24 - Scarborough-Guildwood,Planned,Morningside Ave. Near Warnsworth St.,"{'type': 'Point', 'coordinates': (-79.18848, 43.774337)}"
5498,A246,24 - Scarborough-Guildwood,Planned,Galloway Rd. Near Coronation Dr.,"{'type': 'Point', 'coordinates': (-79.193916, 43.760182)}"
5499,A247,25 - Scarborough-Rouge Park,Planned,Brenyon Way Near 200 Brenyon Way,"{'type': 'Point', 'coordinates': (-79.2134, 43.806237)}"
5500,A248,25 - Scarborough-Rouge Park,Planned,Old Finch Ave. West of Littles Rd.,"{'type': 'Point', 'coordinates': (-79.208256, 43.820617)}"
